clusters,variable,min,q1,median,mean,q3,max
3,HE.G,0.000196507,0.001206332,0.005862445,0.029553615,0.014295852,0.316168122
3,HE.GG,0.744565217,0.820652174,0.839673913,0.845813205,0.866847826,0.951086957
3,Total.HE,0.001860738,0.003112112,0.007627939,0.031248073,0.016066551,0.318393018
3,N,0.010556367,0.014253646,0.028273449,0.030545765,0.030252305,0.166770505
3,N.G,0.000792939,0.012933886,0.01687598,0.018840863,0.022063856,0.043477624
3,N.GG,0.000870006,0.003355898,0.008107369,0.014329019,0.016808307,0.089214519
3,N.S,0.005081043,0.016103564,0.030082861,0.036735532,0.038731113,0.139100394
3,Total.N,0,0.01361025,0.020859414,0.019790353,0.024247242,0.041419457
4,E,0.019413719,0.037063275,0.047668278,0.054076542,0.065423312,0.126183822
4,EG.1,0.00168747,0.007074317,0.013877546,0.024964227,0.027453782,0.176809301
4,E.S,0.00292047,0.07448993,0.109272044,0.127157475,0.153394944,0.37230633
4,Total.E,0.002077204,0.007570021,0.014388542,0.025412687,0.027760593,0.17716407
4,HE,0.554585153,0.638646288,0.661572052,0.670939569,0.69650655,0.956331878
4,HE.G,0.0019869,0.008144105,0.019508734,0.049982744,0.04525655,0.306451965
4,HE.GG,0.70923913,0.78125,0.820652174,0.816707574,0.845108696,0.907608696
4,Total.HE,0.003721477,0.009820564,0.021110132,0.051695603,0.046855787,0.308621421
4,N,0.007525521,0.016303993,0.031006799,0.045357632,0.071570054,0.13449983
4,N.G,0.045174135,0.065699052,0.083514241,0.084746216,0.102124012,0.155050729
4,N.GG,0.003071053,0.009311409,0.014785838,0.01931164,0.025225687,0.060965434
4,N.S,0.006382238,0.028293151,0.048681047,0.125207077,0.107339794,0.972681955
4,Total.N,0.049458204,0.071069831,0.090965197,0.090295274,0.10536038,0.152408395
5,E,0.065986841,0.122574575,0.151531742,0.149378958,0.168150404,0.30656355
5,EG.1,0.001067146,0.022643842,0.034344194,0.116471478,0.070732737,1
5,E.S,0.032348684,0.073080215,0.115401394,0.13951931,0.207046892,0.314041645
5,Total.E,0.001695089,0.023007286,0.034811288,0.116944038,0.071544464,1
5,HE,0.272925764,0.418668122,0.512008734,0.48066126,0.558951965,0.598253275
5,HE.G,0.002281659,0.013125,0.019737991,0.028337492,0.035335699,0.116419214
5,HE.GG,0.385869565,0.481657609,0.669836957,0.626552795,0.705163043,0.9375
5,Total.HE,0.004189382,0.015566002,0.021654207,0.030144895,0.037062427,0.117901174
5,N,0.009147131,0.01290143,0.023647525,0.028046212,0.041483611,0.063395216
5,N.G,0.051544962,0.077304572,0.09292774,0.096131545,0.117453117,0.143749879
5,N.GG,0.003477355,0.011001719,0.026666403,0.024422465,0.033234254,0.048145861
5,N.S,0.002381258,0.023918624,0.067218574,0.105297213,0.143207871,0.299994527
5,Total.N,0.069188121,0.08448018,0.092906992,0.099276529,0.113684553,0.158979853
6,E,0.155917392,0.22295907,0.267493788,0.300101452,0.276162648,0.754024942
6,EG.1,0,0.004394718,0.010234402,0.01702682,0.025667017,0.059016179
6,E.S,0.087783761,0.176382627,0.212593965,0.227551223,0.285323935,0.403077853
6,Total.E,0.000572868,0.00523849,0.010492517,0.017726553,0.026300583,0.060088671
6,HE,0.397379913,0.5,0.57860262,0.588064047,0.602620087,1
6,HE.G,0.005720524,0.071582969,0.154563319,0.156174187,0.254312227,0.339912664
6,HE.GG,0.630434783,0.652173913,0.739130435,0.722524155,0.779891304,0.847826087
6,Total.HE,0.007399428,0.073080229,0.155812359,0.15783632,0.255639343,0.341189784
6,N,0.01143531,0.044008794,0.063395216,0.165703332,0.085560108,1
6,N.G,0.132766665,0.198267916,0.237803741,0.237861059,0.272844195,0.316609802
6,N.GG,0.004945505,0.032418097,0.052820135,0.07897114,0.113541325,0.221029273
6,N.S,0.032125478,0.07403908,0.133714963,0.144488979,0.175482298,0.314495411
6,Total.N,0.140707723,0.212050778,0.245703409,0.244451759,0.278571356,0.316967057
