clusters,variable,min,q1,median,mean,q3,max
4,VA.SS,0.004479283,0.014650989,0.036914954,0.042433497,0.059630459,0.110488988
4,Total.VA,0.010983004,0.02179621,0.032675678,0.041590239,0.046085545,0.131746347
5,CA,0,0.015929204,0.02300885,0.02505071,0.031858407,0.063716814
5,CA.G,0.003699488,0.011667615,0.017928287,0.020136204,0.023904382,0.046101309
5,CA.GS,0,0.002,0.003,0.003517241,0.005,0.011
5,Total.CA,0.028,0.074,0.095,0.107448276,0.155,0.199
5,DHPAA,0.012218045,0.043703008,0.117011278,0.112480099,0.13768797,0.297462406
5,DHPAA.G,0.004472179,0.014066563,0.026599064,0.034861119,0.047373895,0.149687988
5,DHPAA.GS,0.00131406,0.052562418,0.098438587,0.109437708,0.149802891,0.327201051
5,DHPAA.SS,0.006349206,0.021825397,0.033580536,0.03956335,0.053902116,0.104761905
5,Total.DHPAA,0.00592234,0.021680915,0.03185189,0.044572934,0.068364404,0.16368833
5,TFA.G,0.001368925,0.003422313,0.006502396,0.01026694,0.009240246,0.07871321
5,TFA.S,0.003096813,0.029062402,0.083711412,0.097348741,0.1281496,0.313384514
5,Total.TFA,0.004013892,0.02970929,0.084605481,0.098234955,0.129201874,0.313949085
5,VA,0.003549349,0.01338088,0.026011898,0.030161712,0.041209112,0.088283815
5,VA.GG,0.004950495,0.060643564,0.129950495,0.159664002,0.180693069,0.613861386
5,VA.GS,0,0.055330634,0.094839567,0.116339807,0.163292848,0.462550607
5,VA.SS,0,0.017170586,0.025009332,0.034021381,0.038447182,0.086226204
5,Total.VA,0.006858165,0.019332074,0.038664149,0.039252514,0.050177252,0.095318557
6,CA,0.001769912,0.010619469,0.028318584,0.030744018,0.046902655,0.074336283
6,CA.G,0,0.046812749,0.073420603,0.072345538,0.105150825,0.12464428
6,CA.GS,0.001,0.002,0.003,0.003814815,0.0045,0.013
6,Total.CA,0.227,0.295,0.359,0.359185185,0.419,0.467
6,DHPAA,0.007048872,0.041823308,0.066729323,0.078755918,0.105028195,0.191259398
6,DHPAA.G,0,0.020852834,0.043837754,0.112135745,0.102535101,1
6,DHPAA.GS,0,0.067674113,0.124835742,0.127658539,0.181340342,0.314060447
6,DHPAA.SS,0,0.021230159,0.040873016,0.047775176,0.067063492,0.134126984
6,Total.DHPAA,0.007338552,0.03165877,0.057987434,0.1218171,0.111236997,1
6,TFA.G,0.001368925,0.00633128,0.010609172,0.012316573,0.016940452,0.033538672
6,TFA.S,0.003194265,0.057567161,0.101772547,0.145237416,0.157747989,0.904182864
6,Total.TFA,0.004295189,0.058482727,0.102521936,0.146126176,0.158532495,0.904597042
6,VA,0,0.013080935,0.029028012,0.109899605,0.097732082,1
6,VA.GG,0.022277228,0.063737624,0.147277228,0.156811514,0.248143564,0.334158416
6,VA.GS,0.009109312,0.060391363,0.101889339,0.097905324,0.131241565,0.217386415
6,VA.SS,0.001493094,0.017730496,0.038447182,0.048367612,0.069428891,0.13960433
6,Total.VA,0.012755525,0.021700957,0.033247192,0.117882767,0.106856509,1
