clusters,variable,min,q1,median,mean,q3,max
3,HE.GG,0.668478261,0.773777174,0.815217391,0.811017787,0.849184783,0.95923913
3,Total.HE,0.001022862,0.002293278,0.002965212,0.004013052,0.005228566,0.010402725
3,N,0.00782171,0.011366155,0.01463965,0.02614351,0.029045087,0.136607257
3,N.G,0,0.008983347,0.013898168,0.0151426,0.019804606,0.03605911
3,N.GG,0.001582698,0.005584741,0.010902006,0.013706515,0.016808307,0.054232236
3,N.S,0.008663498,0.026327912,0.031404095,0.044634338,0.05580327,0.181953099
3,Total.N,0.000764083,0.009763138,0.015246249,0.016642335,0.024029473,0.03496149
4,E,0.143247618,0.188550457,0.21309713,0.215818915,0.246195068,0.289819525
4,EG.1,0.001172782,0.004331853,0.008508866,0.034160702,0.03426154,0.207203376
4,E.S,0.034843536,0.101248178,0.152700193,0.269095815,0.319481916,1
4,Total.E,0.000316565,0.002521086,0.009421248,0.03436257,0.035238431,0.207572196
4,HE,0,0.11790393,0.286026201,0.316593886,0.448689956,0.777292576
4,HE.G,0.00029476,0.006550218,0.008493996,0.038285083,0.042974891,0.170251092
4,HE.GG,0,0.149456522,0.364130435,0.423666008,0.610054348,0.989130435
4,Total.HE,0,0.005244888,0.009053417,0.039257525,0.045555447,0.17173201
4,N,0,0.017125669,0.02513448,0.052068988,0.091597411,0.125887586
4,N.G,0.002820333,0.019119497,0.040811259,0.045422572,0.067150406,0.113551203
4,N.GG,0.006171358,0.027190028,0.093947013,0.104228841,0.146196624,0.322486646
4,N.S,0.034464574,0.094529343,0.12206821,0.191420327,0.295620318,0.456021816
4,Total.N,0.0099236,0.032870574,0.05429472,0.060940369,0.082764553,0.144725
5,E,0.015229223,0.040409598,0.049303258,0.050519014,0.060877992,0.098415673
5,EG.1,0.000312743,0.006478574,0.020650569,0.036523957,0.043646932,0.308518385
5,E.S,0.003629333,0.092631986,0.132169881,0.163739892,0.190755653,0.789118803
5,Total.E,0.000832896,0.00697091,0.021094303,0.037028198,0.044177548,0.310192779
5,HE,0.465065502,0.587336245,0.612445415,0.61432557,0.650655022,0.703056769
5,HE.G,0.000196507,0.00125,0.002281659,0.00432739,0.004372271,0.018995633
5,HE.GG,0.676630435,0.754755435,0.804347826,0.792572464,0.830163043,1
5,Total.HE,0.001936909,0.00294889,0.004004396,0.006140497,0.006387447,0.02066399
5,N,0.007850607,0.013580871,0.027342097,0.039377709,0.044353089,0.219033659
5,N.G,0.005191651,0.034646547,0.046560454,0.054225506,0.068686418,0.147005617
5,N.GG,0,0.007322815,0.016001223,0.017279343,0.021270076,0.044974122
5,N.S,0,0.064054226,0.093140344,0.133397429,0.143779051,0.656522509
5,Total.N,0.03042831,0.042126365,0.055725663,0.061360863,0.070945592,0.143650603
6,E,0.056025827,0.06934961,0.099601562,0.155378484,0.185630436,0.366284984
6,EG.1,0.001026713,0.009465447,0.025361598,0.045339565,0.061235716,0.129608349
6,E.S,0.162277538,0.172856355,0.184369151,0.340508957,0.352021753,0.831019988
6,Total.E,0.002883858,0.010351562,0.025720628,0.046109585,0.061478651,0.130113226
6,HE,0.57860262,0.583515284,0.610262009,0.623908297,0.650655022,0.69650655
6,HE.G,0.002325328,0.016703057,0.046828603,0.069481441,0.099606987,0.181943231
6,HE.GG,0.698369565,0.747282609,0.79076087,0.779211957,0.822690217,0.836956522
6,Total.HE,0.004037041,0.018482247,0.048526099,0.071156922,0.101200775,0.18353845
6,N,0.020219781,0.025004678,0.111165516,0.116720604,0.202881442,0.224331604
6,N.G,0.227764958,0.294508435,0.327636714,0.30628782,0.339416099,0.342112896
6,N.GG,0.003444321,0.061513293,0.089910793,0.083725063,0.112122563,0.151634343
6,N.S,0.035067075,0.044976213,0.085672448,0.117050111,0.157746346,0.261788471
6,Total.N,0.245957353,0.290172546,0.320742785,0.306238222,0.33680846,0.337509965
